wave,only_means,message,prevent,condemn,justified,mate_compete,job_compete,life_satisfaction,excess_males,age,age_group,gender,state,citizenship,marital,religion,eduyrs,occupation,income,household_size,self_econ,distance_ref,settle_ref,left_right,afd,muslim_att,afd_att,contact_att,outcome_list,ref_integrating,ref_citizenship,ref_reduce,ref_moredone,ref_cultgiveup,ref_economy,ref_crime,ref_terror,ref_loc_services,ref_loc_economy,ref_loc_crime,ref_loc_culture,ref_loc_islam,ref_loc_schools,ref_loc_housing,ref_loc_wayoflife
1,3,NA,NA,1,2,NA,NA,NA,NA,27,18-29,Male,Saarland,1,"Single, without partner",Roman Catholic,NA,Homemaker,"2,000 to below 2,500 <80>",2,4,3-5 kilometers,500 <96> 999,5,0,0.875,0.6666666666666666,0.5,3,2,4,4,4,4,2,4,4,4,3,4,3,4,4,4,4
1,4,NA,NA,4,4,NA,NA,NA,NA,29,18-29,Female,Hessen,1,"With partner, living together",No answer,NA,Unskilled worker,"2,500 to below 3,000 <80>",3,6,Less than 3 kilometer,50 <96> 249,8,0,0.875,0.6666666666666666,0.8333333333333334,2,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4
1,2,NA,NA,1,3,NA,NA,NA,NA,30,30-39,Male,Rheinland-Pfalz,1,Married,Roman Catholic,NA,Skilled worker,"2,500 to below 3,000 <80>",3,4,11-20 kilometers,1 <96> 49,3,4,1,0.6666666666666666,0,3,3,2,4,4,3,2,3,3,4,2,4,3,2,3,3,2
1,1,NA,NA,1,1,NA,NA,NA,NA,19,18-29,Male,Hessen,1,"With partner, not living together",Muslim,NA,"In schooling / vocational training, student","3,000 to below 3,500 <80>",4,7,6-10 kilometers,50 <96> 249,3,0,0,0,0,2,2,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3
1,4,NA,NA,1,2,NA,NA,NA,NA,47,40-49,Female,Brandenburg,1,Married,"No, I don't feel close to any religion",NA,Employee in low / medium position,No answer,3,5,6-10 kilometers,1000 and more,6,80,1,0.6666666666666666,0.5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
1,2,NA,NA,3,1,NA,NA,NA,NA,21,18-29,Female,Nordrhein-Westfalen,1,"With partner, living together",Protestant,NA,Employee in low / medium position,"4,000 to below 4,500 <80>",2,8,Don't know,1000 and more,5,10,0.75,0.3333333333333333,0,2,3,2,4,4,4,4,3,4,3,4,3,4,4,4,3,3
1,1,NA,NA,2,1,NA,NA,NA,NA,26,18-29,Female,Hamburg,1,"With partner, not living together","No, I don't feel close to any religion",NA,Employee in low / medium position,"3,000 to below 3,500 <80>",2,7,Less than 3 kilometer,250 <96> 499,3,0,0.125,0,0.16666666666666666,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3
1,3,NA,NA,3,3,NA,NA,NA,NA,28,18-29,Female,Saarland,1,"Single, without partner","Christian, but not close to a particular religious community",NA,"In schooling / vocational training, student","1,000 to below 1,500 <80>",2,4,Don't know,50 <96> 249,7,32,1,1,0.6666666666666666,2,2,3,4,4,3,2,4,4,3,2,4,3,4,4,4,4
1,2,NA,NA,2,2,NA,NA,NA,NA,44,40-49,Male,Baden-W<fc>rttemberg,1,Married,"No, I don't feel close to any religion",NA,Employee in low / medium position,No answer,4,6,Don't know,50 <96> 249,5,0,1,0.3333333333333333,0,2,3,2,4,3,4,3,3,3,3,3,3,3,3,4,3,3
1,1,NA,NA,2,1,NA,NA,NA,NA,36,30-39,Female,Bayern,1,Married,Roman Catholic,NA,Employee in high position,"4,500 to below 5,000 <80>",4,7,6-10 kilometers,1000 and more,6,33,0.625,0.6666666666666666,0.5,1,4,4,4,2,4,3,4,4,4,1,4,1,4,4,4,4
1,4,NA,NA,1,4,NA,NA,NA,NA,24,18-29,Male,Niedersachsen,1,"With partner, not living together","No, I don't feel close to any religion",NA,Other,"500 to below 1,000 <80>",2,9,21-50 kilometers,There are no refugees in my town,5,0,0.5,0,0.8333333333333334,2,3,2,3,1,2,4,3,4,4,4,4,4,4,4,4,4
1,1,NA,NA,2,2,NA,NA,NA,NA,26,18-29,Female,Baden-W<fc>rttemberg,1,"Single, without partner","No, I don't feel close to any religion",NA,Unskilled worker,"3,500 to below 4,000 <80>",4,5,3-5 kilometers,50 <96> 249,5,0,0.75,0,0.6666666666666666,2,4,2,3,4,2,3,3,3,3,3,3,3,3,4,4,3
1,1,NA,NA,1,2,NA,NA,NA,NA,19,18-29,Female,Hessen,1,"Single, without partner",Muslim,NA,"In schooling / vocational training, student","3,500 to below 4,000 <80>",4,6,3-5 kilometers,50 <96> 249,2,0,0,0,0.3333333333333333,1,2,2,1,2,3,1,2,3,2,1,2,1,3,3,2,3
1,3,NA,NA,3,3,NA,NA,NA,NA,50,50-59,Female,Saarland,1,Married,"Christian, but not close to a particular religious community",NA,Self-employed / freelancer,No answer,2,6,11-20 kilometers,50 <96> 249,8,50,0.875,1,0.5,2,3,3,4,3,4,3,3,4,3,3,3,3,3,4,3,2
1,3,NA,NA,1,1,NA,NA,NA,NA,62,60 and older,Female,Schleswig-Holstein,1,Divorced / separated,Protestant,NA,Retired,"1,000 to below 1,500 <80>",1,7,Less than 3 kilometer,500 <96> 999,3,1,0.75,0,0.5,2,3,2,2,3,3,3,2,3,4,3,2,1,3,4,4,3
1,1,NA,NA,1,1,NA,NA,NA,NA,53,50-59,Female,Schleswig-Holstein,1,"Single, without partner",Protestant,NA,Civil servant,"2,000 to below 2,500 <80>",1,3,6-10 kilometers,50 <96> 249,3,0,0.625,0,0.3333333333333333,3,3,2,3,4,2,2,3,4,3,3,3,2,4,4,4,3
1,1,NA,NA,1,1,NA,NA,NA,NA,19,18-29,Male,Rheinland-Pfalz,1,"Single, without partner","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","4,500 to below 5,000 <80>",4,3,11-20 kilometers,250 <96> 499,3,0,0,0,0.16666666666666666,2,2,1,2,2,2,2,2,1,1,2,1,1,2,3,1,1
1,3,NA,NA,3,3,NA,NA,NA,NA,69,60 and older,Female,Sachsen-Anhalt,1,Married,Protestant,NA,Retired,"1,500 to below 2,000 <80>",2,5,6-10 kilometers,1000 and more,5,90,1,1,0.3333333333333333,3,3,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4
1,1,NA,NA,1,3,NA,NA,NA,NA,72,60 and older,Female,Niedersachsen,1,Widowed,No answer,NA,Retired,"500 to below 1,000 <80>",1,7,21-50 kilometers,250 <96> 499,4,0,0.625,0,0.8333333333333334,1,3,2,4,4,4,2,4,4,4,2,3,3,2,4,4,4
1,1,NA,NA,1,2,NA,NA,NA,NA,48,40-49,Male,Schleswig-Holstein,1,Married,Protestant,NA,Skilled worker,"2,500 to below 3,000 <80>",3,1,6-10 kilometers,1 <96> 49,4,3,0.875,0,0.3333333333333333,0,3,3,4,4,4,3,4,4,3,3,2,3,2,2,3,2
1,1,NA,NA,2,1,NA,NA,NA,NA,52,50-59,Female,Berlin,1,Married,"No, I don't feel close to any religion",NA,Employee in low / medium position,"2,500 to below 3,000 <80>",2,6,Less than 3 kilometer,1000 and more,4,31,1,1,0.3333333333333333,2,3,3,3,3,1,4,3,3,2,3,3,2,4,2,4,1
1,1,NA,NA,1,1,NA,NA,NA,NA,47,40-49,Male,Hessen,1,Married,Protestant,NA,Employee in high position,"2,000 to below 2,500 <80>",2,3,More than 50 kilometer,1 <96> 49,0,0,0.375,0.3333333333333333,0,0,1,1,1,2,4,1,2,2,2,1,1,2,1,3,3,3
1,1,NA,NA,2,1,NA,NA,NA,NA,35,30-39,Female,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",NA,Civil servant,"2,000 to below 2,500 <80>",1,8,3-5 kilometers,500 <96> 999,7,5,0.5,0.6666666666666666,0.16666666666666666,2,2,3,3,2,1,2,2,3,2,2,3,2,3,4,2,2
1,3,NA,NA,3,3,NA,NA,NA,NA,50,50-59,Female,Nordrhein-Westfalen,1,Married,Protestant,NA,Homemaker,No answer,3,6,Less than 3 kilometer,50 <96> 249,5,0,0.625,1,0.16666666666666666,1,2,3,4,4,3,4,4,4,3,4,3,4,3,3,3,3
1,1,NA,NA,1,1,NA,NA,NA,NA,57,50-59,Male,Nordrhein-Westfalen,1,"With partner, not living together",Protestant,NA,Skilled worker,"1,000 to below 1,500 <80>",1,6,Less than 3 kilometer,50 <96> 249,4,0,0.625,0.3333333333333333,0.16666666666666666,2,3,2,4,4,4,2,4,3,3,3,4,3,1,4,4,3
1,1,NA,NA,1,1,NA,NA,NA,NA,26,18-29,Female,Sachsen,1,"With partner, living together",Protestant,NA,Skilled worker,"1,500 to below 2,000 <80>",2,1,3-5 kilometers,500 <96> 999,1,0,0.25,0.6666666666666666,0.6666666666666666,2,2,2,3,2,3,2,2,3,3,3,2,2,2,4,4,4
1,1,NA,NA,2,2,NA,NA,NA,NA,40,40-49,Male,Mecklenburg-Vorpommern,1,Married,Protestant,NA,Employee in low / medium position,"2,500 to below 3,000 <80>",3,6,6-10 kilometers,1 <96> 49,4,0,0.625,0,0.16666666666666666,1,2,2,3,3,3,2,3,4,4,2,3,2,4,4,3,4
1,1,NA,NA,1,1,NA,NA,NA,NA,57,50-59,Female,Nordrhein-Westfalen,1,Married,Protestant,NA,Retired,"1,000 to below 1,500 <80>",3,8,3-5 kilometers,500 <96> 999,2,2,0,0,0.8333333333333334,2,2,1,1,1,2,2,1,1,3,2,1,1,1,2,4,4
1,1,NA,NA,2,1,NA,NA,NA,NA,25,18-29,Female,Hessen,1,"With partner, living together",Protestant,NA,"In schooling / vocational training, student","500 to below 1,000 <80>",3,8,6-10 kilometers,50 <96> 249,2,0,0.125,0,0.3333333333333333,2,2,2,2,1,2,2,2,3,2,2,2,1,3,4,2,1
1,1,NA,NA,1,1,NA,NA,NA,NA,55,50-59,Male,Sachsen,1,Married,"No, I don't feel close to any religion",NA,Skilled worker,"2,500 to below 3,000 <80>",2,4,Less than 3 kilometer,1 <96> 49,4,0,0.875,0,0,3,3,3,2,2,3,3,3,3,2,3,2,3,2,3,2,2
1,1,NA,NA,1,1,NA,NA,NA,NA,25,18-29,Female,Rheinland-Pfalz,1,"With partner, not living together",Protestant,NA,"In schooling / vocational training, student","500 to below 1,000 <80>",3,6,6-10 kilometers,250 <96> 499,3,0,0.125,0,0.16666666666666666,2,3,3,2,3,2,3,2,2,1,3,1,3,2,1,1,1
1,1,NA,NA,1,1,NA,NA,NA,NA,35,30-39,Female,Nordrhein-Westfalen,1,Married,Protestant,NA,Parental leave,No answer,3,5,Less than 3 kilometer,1 <96> 49,5,0,0.25,0,0.6666666666666666,2,3,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2
1,1,NA,NA,1,1,NA,NA,NA,NA,26,18-29,Female,Sachsen-Anhalt,1,"With partner, living together","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","2,000 to below 2,500 <80>",2,4,3-5 kilometers,250 <96> 499,3,0,0.125,0,0.16666666666666666,2,2,1,1,1,1,2,1,1,2,2,1,1,2,3,1,2
1,3,NA,NA,3,3,NA,NA,NA,NA,60,60 and older,Female,Baden-W<fc>rttemberg,1,Widowed,"No, I don't feel close to any religion",NA,Retired,"2,000 to below 2,500 <80>",1,8,Less than 3 kilometer,250 <96> 499,5,0,1,0.6666666666666666,0.8333333333333334,2,4,2,4,4,3,4,4,3,4,4,4,3,4,4,4,4
1,3,NA,NA,4,2,NA,NA,NA,NA,40,40-49,Female,Niedersachsen,1,Married,"No, I don't feel close to any religion",NA,Skilled worker,"2,000 to below 2,500 <80>",6,4,Less than 3 kilometer,1000 and more,5,1,0.875,0.6666666666666666,0.6666666666666666,1,3,2,3,4,2,4,4,3,2,3,2,3,3,3,2,2
1,4,NA,NA,1,4,NA,NA,NA,NA,30,30-39,Female,Baden-W<fc>rttemberg,1,"With partner, not living together",Roman Catholic,NA,Unskilled worker,"1,500 to below 2,000 <80>",2,9,Don't know,250 <96> 499,3,9,0.75,0.6666666666666666,0.5,4,1,4,4,4,1,4,4,4,3,2,2,2,2,3,3,3
1,1,NA,NA,1,1,NA,NA,NA,NA,59,50-59,Female,Nordrhein-Westfalen,0,Divorced / separated,Roman Catholic,NA,Retired,"1,000 to below 1,500 <80>",2,5,Less than 3 kilometer,1000 and more,2,0,0.5,0,0.5,3,2,2,3,3,1,3,3,4,3,4,3,2,2,4,3,2
1,1,NA,NA,3,1,NA,NA,NA,NA,27,18-29,Female,Sachsen,1,"With partner, not living together",Protestant,NA,"In schooling / vocational training, student","500 to below 1,000 <80>",1,5,Less than 3 kilometer,1000 and more,5,39,0.25,0.3333333333333333,0.3333333333333333,2,3,3,3,3,2,4,2,2,3,4,2,3,3,3,3,3
1,4,NA,NA,2,4,NA,NA,NA,NA,55,50-59,Female,Sachsen,1,Married,"No, I don't feel close to any religion",NA,Skilled worker,"1,500 to below 2,000 <80>",2,2,Don't know,1 <96> 49,10,49,0.625,1,0.16666666666666666,2,3,4,4,4,4,3,3,4,4,3,3,3,4,4,3,3
1,1,NA,NA,1,1,NA,NA,NA,NA,27,18-29,Female,Baden-W<fc>rttemberg,1,Married,Protestant,NA,Employee in low / medium position,"5,000 or more <80>",2,8,11-20 kilometers,50 <96> 249,4,0,0.25,0,0.3333333333333333,3,3,1,1,1,3,4,3,1,2,3,2,2,2,2,2,2
1,2,NA,NA,1,2,NA,NA,NA,NA,58,50-59,Male,Schleswig-Holstein,1,Married,Roman Catholic,NA,Retired,"1,500 to below 2,000 <80>",3,3,3-5 kilometers,There are no refugees in my town,8,0,0.125,0,0.3333333333333333,1,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3
1,1,NA,NA,1,1,NA,NA,NA,NA,22,18-29,Male,Sachsen-Anhalt,1,"Single, without partner","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","1,500 to below 2,000 <80>",6,6,Less than 3 kilometer,250 <96> 499,2,0,0.125,0,0.3333333333333333,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,NA,NA,1,3,NA,NA,NA,NA,69,60 and older,Male,Bayern,1,"With partner, not living together",Protestant,NA,Retired,"2,000 to below 2,500 <80>",1,7,6-10 kilometers,There are no refugees in my town,7,1,0.75,0.3333333333333333,0.3333333333333333,2,2,2,2,1,3,2,3,3,3,2,2,2,2,3,2,2
1,4,NA,NA,2,2,NA,NA,NA,NA,22,18-29,Female,Hamburg,1,"With partner, living together","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","500 to below 1,000 <80>",3,9,6-10 kilometers,50 <96> 249,3,0,0.75,0.6666666666666666,0.5,1,3,3,2,2,2,3,2,3,2,3,3,3,2,2,2,2
1,2,NA,NA,1,1,NA,NA,NA,NA,64,60 and older,Female,Sachsen,1,Married,"No, I don't feel close to any religion",NA,Retired,"1,000 to below 1,500 <80>",2,0 ( BOTTOM ),Less than 3 kilometer,500 <96> 999,3,0,0.625,0.3333333333333333,0.3333333333333333,2,4,4,4,4,1,4,3,4,4,2,3,4,4,4,4,2
1,2,NA,NA,2,2,NA,NA,NA,NA,75,60 and older,Male,Bayern,1,Married,Roman Catholic,NA,Retired,"5,000 or more <80>",2,6,3-5 kilometers,500 <96> 999,5,0,0.625,0.6666666666666666,0.16666666666666666,1,3,2,3,3,3,3,3,3,4,3,3,3,3,4,3,3
1,3,NA,NA,3,3,NA,NA,NA,NA,29,18-29,Male,Rheinland-Pfalz,1,Married,Roman Catholic,NA,Employee in low / medium position,"3,500 to below 4,000 <80>",2,8,11-20 kilometers,1 <96> 49,7,21,0.875,1,0.16666666666666666,1,3,2,4,3,3,3,3,4,3,3,4,3,3,4,3,3
1,2,NA,NA,3,3,NA,NA,NA,NA,54,50-59,Female,Baden-W<fc>rttemberg,1,Divorced / separated,"No, I don't feel close to any religion",NA,Employee in low / medium position,"1,500 to below 2,000 <80>",1,4,Less than 3 kilometer,1 <96> 49,5,0,0.875,0.6666666666666666,0.5,1,4,3,4,4,3,4,3,4,4,2,3,3,4,4,4,4
1,1,NA,NA,1,1,NA,NA,NA,NA,59,50-59,Male,Nordrhein-Westfalen,1,Widowed,"Eastern religion (Buddhism, Hinduism, Sikhism, Shinto, Tao, etc.)",NA,Homemaker,"500 to below 1,000 <80>",1,1,3-5 kilometers,250 <96> 499,1,2,0.625,0.6666666666666666,0.3333333333333333,2,3,2,4,3,2,4,3,3,4,3,3,3,3,3,3,3
1,1,NA,NA,1,1,NA,NA,NA,NA,18,18-29,Female,Nordrhein-Westfalen,1,"Single, without partner","Christian, but not close to a particular religious community",NA,Unskilled worker,"500 to below 1,000 <80>",2,5,Less than 3 kilometer,1 <96> 49,5,0,0.5,0,0,2,2,2,3,3,2,2,3,3,2,2,2,1,2,3,2,3
1,3,NA,NA,3,2,NA,NA,NA,NA,40,40-49,Male,Baden-W<fc>rttemberg,1,Married,Roman Catholic,NA,Self-employed / freelancer,"1,500 to below 2,000 <80>",5,4,11-20 kilometers,50 <96> 249,6,86,0.625,1,0.3333333333333333,1,4,4,4,4,4,3,3,4,3,3,4,4,3,4,3,4
1,2,NA,NA,2,2,NA,NA,NA,NA,31,30-39,Female,Sachsen-Anhalt,1,"With partner, living together","No, I don't feel close to any religion",NA,Senior civil servant <96> highest level,"5,000 or more <80>",2,7,6-10 kilometers,250 <96> 499,5,21,0.5,1,0.5,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,3
1,1,NA,NA,2,1,NA,NA,NA,NA,46,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",NA,Employee in low / medium position,No answer,1,7,Don't know,1 <96> 49,4,0,0.375,0,0.3333333333333333,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
1,2,NA,NA,1,2,NA,NA,NA,NA,65,60 and older,Female,Niedersachsen,1,Married,Protestant,NA,Retired,No answer,2,7,Less than 3 kilometer,1000 and more,6,20,0.75,0.6666666666666666,0.6666666666666666,2,3,2,3,3,3,3,3,3,2,3,2,2,3,3,2,3
1,1,NA,NA,2,2,NA,NA,NA,NA,18,18-29,Male,Niedersachsen,1,"Single, without partner","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","1,500 to below 2,000 <80>",4,3,6-10 kilometers,500 <96> 999,3,0,0.25,0.3333333333333333,0,2,3,2,2,2,3,2,2,2,3,2,2,2,3,3,3,3
1,3,NA,NA,3,3,NA,NA,NA,NA,46,40-49,Male,Baden-W<fc>rttemberg,1,"With partner, not living together",Protestant,NA,Unskilled worker,"1,500 to below 2,000 <80>",1,5,6-10 kilometers,1 <96> 49,7,60,0.625,1,0.16666666666666666,2,3,4,4,3,4,4,3,4,4,4,3,4,4,3,3,3
1,1,NA,NA,1,1,NA,NA,NA,NA,37,30-39,Female,Hessen,1,"With partner, living together","Eastern religion (Buddhism, Hinduism, Sikhism, Shinto, Tao, etc.)",NA,Employee in low / medium position,"3,500 to below 4,000 <80>",2,7,3-5 kilometers,1000 and more,1,0,0.5,0,0.3333333333333333,2,2,2,2,2,3,2,2,2,3,2,1,2,2,4,2,2
1,1,NA,NA,1,1,NA,NA,NA,NA,28,18-29,Female,Hessen,1,"With partner, not living together","No, I don't feel close to any religion",NA,Employee in low / medium position,"1,500 to below 2,000 <80>",1,6,6-10 kilometers,1000 and more,4,0,0.375,0,0.16666666666666666,2,2,2,1,1,3,1,1,1,2,2,1,2,2,2,1,2
1,3,NA,NA,2,2,NA,NA,NA,NA,49,40-49,Female,Bayern,1,"Single, without partner","Eastern religion (Buddhism, Hinduism, Sikhism, Shinto, Tao, etc.)",NA,Employee in high position,"3,000 to below 3,500 <80>",1,6,3-5 kilometers,50 <96> 249,3,0,0.125,0,0.8333333333333334,1,2,2,3,3,3,3,3,3,2,2,3,3,2,2,2,2
1,3,NA,NA,2,3,NA,NA,NA,NA,27,18-29,Female,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",NA,Permanently sick or disabled,below 500 <80>,1,4,Don't know,1 <96> 49,5,0,0.75,1,0,3,2,2,3,3,3,2,3,3,3,2,3,2,3,3,3,3
1,3,NA,NA,1,2,NA,NA,NA,NA,38,30-39,Male,Sachsen,1,"With partner, living together","No, I don't feel close to any religion",NA,Employee in high position,"3,500 to below 4,000 <80>",2,7,Less than 3 kilometer,500 <96> 999,4,1,1,0,0.5,1,4,2,3,4,2,2,3,3,2,3,3,2,4,3,3,3
1,1,NA,NA,1,1,NA,NA,NA,NA,54,50-59,Female,Niedersachsen,1,Married,Protestant,NA,Employee in low / medium position,"2,000 to below 2,500 <80>",2,5,3-5 kilometers,1 <96> 49,4,1,0.125,0,0.6666666666666666,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2
1,1,NA,NA,3,3,NA,NA,NA,NA,53,50-59,Male,Bayern,1,Divorced / separated,Protestant Free Church,NA,Unskilled worker,"1,500 to below 2,000 <80>",1,5,Don't know,1 <96> 49,5,0,0.25,0,0,1,2,2,3,3,3,2,3,3,3,1,4,2,3,4,4,3
1,1,NA,NA,2,3,NA,NA,NA,NA,26,18-29,Female,Rheinland-Pfalz,1,"With partner, living together",Roman Catholic,NA,Unskilled worker,"1,500 to below 2,000 <80>",2,3,6-10 kilometers,1 <96> 49,5,30,0.75,1,0.3333333333333333,2,3,4,4,4,4,3,3,4,3,3,2,3,3,4,3,3
1,1,NA,NA,2,1,NA,NA,NA,NA,50,50-59,Female,Niedersachsen,1,Divorced / separated,Protestant,NA,Employee in low / medium position,"1,000 to below 1,500 <80>",3,5,Don't know,500 <96> 999,3,1,0,0.3333333333333333,0,2,2,2,2,2,3,2,2,2,2,2,2,2,2,4,3,3
